id;ad;soyad;email;parola;t_c;musteri_tipi;dogum_tarihi
1;Estonia;Nebraska;Sabina_Donnelly45@yahoo.com;experiences yellow;Coordinator;Kurumsal;2020-12-09T09:28:09
2;Product;Practical;Jamaal_Hayes@hotmail.com;Auto Loan Account Uruguay;Aruba Admin;Bireysel;2020-12-09T08:49:05
3;e-tailers Belarussian Ruble;compress cyan Designer;Leonel_Hermiston@hotmail.com;Views;invoice Avo;Bireysel;2020-12-09T09:33:44
4;optimizing online overriding;matrix tangible architectures;Kiel36@gmail.com;back-end SCSI Steel;Baby synthe;Kurumsal;2020-12-09T09:38:06
5;Fresh Fantastic Cotton Chips navigating;Assurance;Keon76@yahoo.com;recontextualize FTP red;ComputerXXX;Bireysel;2020-12-08T13:07:56
6;syndicate deposit;Sri Lanka Rupee cross-platform;Lewis_Kerluke@gmail.com;Indiana Money Market Account;Michigan Er;Kurumsal;2020-12-08T11:43:46
7;Bedfordshire Principal;Unbranded matrices;Jeanne64@hotmail.com;real-time payment Communications;Analyst Fan;Kurumsal;2020-12-09T02:48:08
8;online Generic Steel Shirt Rupiah;lavender;Citlalli_Schuppe@yahoo.com;Upgradable interactive interface;backing up ;Kurumsal;2020-12-08T19:48:56
9;Well Pataca;mint green Burundi Franc;Isabell4@gmail.com;Toys programming Handcrafted;Saint Helen;Bireysel;2020-12-08T13:17:57
10;compressing;Senior input Mobility;Narciso0@gmail.com;e-markets;Borders pay;Kurumsal;2020-12-09T03:20:49
